chassis,sa_code,desc_de,desc_en,desc_pl,updated_at
E83,620,,Voice input,,2026-04-05 22:05:39
E83,4ML,,Individual interior trim strips piano lacquer black,,2026-04-05 22:05:40
E83,6AA,,BMW Teleservices (SOP 03/07),,2026-04-05 22:05:40
E83,4CF,,Space gray interior trim,,2026-04-05 22:05:41
E83,423,,Floor mats in velor,,2026-04-05 22:05:42
E83,488,,Lumbar support driver/BF,,2026-04-05 22:05:42
E83,521,,Rain sensor,,2026-04-05 22:05:42
E83,4NA,,Interior mirror with digital compass,,2026-04-05 22:05:43
E83,4AD,,Fine longitudinal grinding of aluminum,,2026-04-05 22:05:43
E83,430,,Interior/exterior mirrors auto-dimming,,2026-04-05 22:05:43
E83,169,,EU3 emissions standard,,2026-04-05 22:05:44
E83,4BZ,,Light titanium interior trim,,2026-04-05 22:05:44
E83,534,,Automatic climate control,,2026-04-05 22:05:44
E83,2BP,,LM wheels double spoke 205 A/S,,2026-04-05 22:05:44
E83,609,,Navigation system Professional,,2026-04-05 22:05:45
E83,332,,Light alloy wheel styling 106,,2026-04-05 22:05:46
E83,324,,Light alloy wheel 107,,2026-04-05 22:05:46
E89,100,,PAYLOAD INCREASE,,2026-04-05 22:08:19
E46,897,,Continuous tone for DWA,,2026-04-05 22:09:19
E46,302,,Alarm system with remote control,,2026-04-05 22:09:24
E46,899,,Optical signaling for DWA,,2026-04-05 22:09:28
E46,210,,Dynamic staff. Control III (DSCIII),,2026-04-09 23:43:16
E46,226,,Sporty chassis tuning,,2026-04-09 23:43:27
E46,262,,Head airbag for Compact,,2026-04-09 23:43:39
E46,315,,Rear window wiper/retainer washer jets,,2026-04-09 23:43:45
E46,321,,Door handles in body color,,2026-04-09 23:43:47
E46,338,,M sports package II,,2026-04-09 23:43:47
E46,403,,Electric sliding glass roof,,2026-04-09 23:43:56
E46,423,,Floor mats in velor,,2026-04-09 23:44:00
E46,428,,Warning triangle and first aid kit,,2026-04-09 23:44:03
E46,431,,"Interior mirror, automatically dimming",,2026-04-09 23:44:04
E46,473,,Front armrest,,2026-04-09 23:44:10
E46,481,,Sports seats for driver/passenger,,2026-04-09 23:44:13
E46,494,,Heated seats for driver and passenger,,2026-04-09 23:44:21
E46,508,,Park Distance Control (PDC),,2026-04-09 23:44:29
E46,520,,Fog lights,,2026-04-09 23:44:31
E46,550,,On-board computer,,2026-04-09 23:44:35
E46,548,,Mileage speedometer,,2026-04-09 23:44:38
E46,530,,Climate control,,2026-04-09 23:44:38
E46,235,,"Trailer coupling, head removable",,2026-04-10 01:18:06
E46,790,,"LM forged wheel 19""""",,2026-04-10 12:23:18
E46,775,,Individual roof lining anthracite,,2026-04-10 12:23:19
E46,521,,Rain sensor/driving light control,,2026-04-29 19:29:45
E46,522,,Xenon light,,2026-04-29 19:29:47
E46,524,,Automatic light / twilight switch for driving lights from 9/01,,2026-04-29 19:29:48
E46,534,,Automatic climate control including AUC,,2026-04-29 19:29:50
E46,601,,TV only in conjunction with SA609,,2026-04-29 19:29:51
E46,609,,Navigation + TV including on-board monitor,,2026-04-29 19:29:52
E46,644,,Preparing Bluetooth cell phone,,2026-04-29 19:29:52
E46,502,,Headlight washer system,,2026-04-29 19:29:53
E46,672,,CD changer BMW 6 CD changer,,2026-04-29 19:29:59
E46,760,,High gloss shadow line,,2026-04-29 19:30:00
E46,785,,White flashing lights all around,,2026-04-29 19:30:00
E46,801,,Order control ZD,,2026-04-29 19:30:01
E46,840,,High speed tuning,,2026-04-29 19:30:01
E46,863,,Europe/Dealer Directory,,2026-04-29 19:30:01
E46,851,,Amature labeling in German,,2026-04-29 19:30:02
E46,879,,German/operating instructions/service booklet,,2026-04-29 19:30:03
E46,998,,Start-up control of internal requirements,,2026-04-29 19:30:03
